category,process,processid,sourceip,destinationip,destinationport,source_file,source_dir,line_number,subnet,organization,country,asn,description
network_connection,Cursor.exe,11072,192.168.1.48,184.72.221.227,443,network_304_2025-12-28_08-50.log,ready,2016,184.72.221.0/24,AMAZON-IAD,US,AS14618,"AMAZON-AES, US"
network_termination,Cursor.exe,11072,192.168.1.48,100.52.86.188,443,network_304_2025-12-28_08-50.log,ready,2046,100.52.86.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,3.216.112.196,443,network_304_2025-12-28_08-50.log,ready,2080,3.216.112.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,52.22.231.116,443,network_304_2025-12-28_08-50.log,ready,2094,52.22.231.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,100.48.160.44,443,network_304_2025-12-28_08-50.log,ready,2096,100.48.160.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,1016,192.168.1.48,52.206.241.160,443,network_304_2025-12-28_08-50.log,ready,2098,52.206.241.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,44.221.38.230,443,network_304_2025-12-28_08-50.log,ready,2130,44.221.38.0/24,AMAZON-IAD,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,11072,192.168.1.48,18.207.25.133,443,network_304_2025-12-28_08-50.log,ready,2140,18.207.25.0/24,AT-88-Z,US,AS14618,"AMAZON-AES, US"
network_termination,Cursor.exe,11072,192.168.1.48,34.198.72.197,443,network_304_2025-12-28_08-50.log,ready,2180,34.198.72.0/24,AT-88-Z,US,AS14618,"AMAZON-AES, US"
network_termination,Cursor.exe,11072,192.168.1.48,100.52.112.90,443,network_304_2025-12-28_08-50.log,ready,2196,100.52.112.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,54.235.168.53,443,network_304_2025-12-28_08-50.log,ready,2211,54.235.168.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,35.173.71.7,443,network_304_2025-12-28_08-50.log,ready,2219,35.173.71.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,52.91.148.64,443,network_304_2025-12-28_08-50.log,ready,2275,52.91.148.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,54.243.172.121,443,network_304_2025-12-28_08-50.log,ready,2325,54.243.172.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,3.213.46.132,443,network_304_2025-12-28_08-50.log,ready,2347,3.213.46.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,44.209.105.133,443,network_304_2025-12-28_08-50.log,ready,2363,44.209.105.0/24,AMAZON-IAD,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,11072,192.168.1.48,100.51.53.12,443,network_304_2025-12-28_08-50.log,ready,2383,100.51.53.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,23.22.165.200,443,network_304_2025-12-28_08-50.log,ready,2411,23.22.165.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,1016,192.168.1.48,100.52.38.63,443,network_304_2025-12-28_08-50.log,ready,2471,100.52.38.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
